ImageFile,jitter
Stimuli/BF16_AO.jpg,1.5
Stimuli/AF03_AO.jpg,4
Stimuli/BF15_AO.jpg,1.5
Stimuli/WF01_AO.jpg,5.5
Stimuli/AF07_AO.jpg,1.5
Stimuli/AF06_AO.jpg,1.5
Stimuli/HF04_AO.jpg,1.5
Stimuli/AF08_AO.jpg,2.5
Stimuli/AM02_AO.jpg,1.5
Stimuli/AM03_AO.jpg,4
Stimuli/HM11_AO.jpg,2.5
Stimuli/AM11_AO.jpg,2
Stimuli/HM09_AO.jpg,2
Stimuli/BM03_AO.jpg,6
Stimuli/BM18_AO.jpg,4
Stimuli/BM04_AO.jpg,3.5
Stimuli/WM05_AO.jpg,1.5
Stimuli/BF01_HO.jpg,1.5
Stimuli/AF01_HO.jpg,5.5
Stimuli/HF05_HO.jpg,5
Stimuli/WF10_HO.jpg,5
Stimuli/WF15_HO.jpg,1.5
Stimuli/BF13_HO.jpg,1.5
Stimuli/BF18_HO.jpg,2
Stimuli/HF07_HO.jpg,1.5
Stimuli/HM08_HO.jpg,2.5
Stimuli/HM10_HO.jpg,5.5
Stimuli/WM10_HO.jpg,1.5
Stimuli/WM02_HO.jpg,2
Stimuli/AM05_HO.jpg,1.5
Stimuli/AM06_HO.jpg,1.5
Stimuli/HM05_HO.jpg,4
Stimuli/WM13_HO.jpg,7.5
Stimuli/HF08_AO.jpg,3.5
Stimuli/BF04_AO.jpg,4.5
Stimuli/BF10_AO.jpg,6.5
Stimuli/WF13_AO.jpg,3.5
Stimuli/BF20_AO.jpg,1.5
Stimuli/BF12_AO.jpg,3.5
Stimuli/HF02_AO.jpg,2.5
Stimuli/AF12_AO.jpg,1.5
Stimuli/BM02_AO.jpg,1.5
Stimuli/AM04_AO.jpg,2.5
Stimuli/HM02_AO.jpg,4
Stimuli/BM05_AO.jpg,1.5
Stimuli/AM07_AO.jpg,1.5
Stimuli/WM03_AO.jpg,2.5
Stimuli/BM09_AO.jpg,3
Stimuli/AM09_AO.jpg,3
Stimuli/WF14_HO.jpg,1.5
Stimuli/WF03_HO.jpg,1.5
Stimuli/HF01_HO.jpg,7.5
Stimuli/BF09_HO.jpg,4
Stimuli/WF12_HO.jpg,1.5
Stimuli/WF05_HO.jpg,2
Stimuli/AF11_HO.jpg,4
Stimuli/WF07_HO.jpg,4.5
Stimuli/AM01_HO.jpg,1.5
Stimuli/BM14_HO.jpg,4
Stimuli/BM15_HO.jpg,1.5
Stimuli/AM08_HO.jpg,8
Stimuli/WM04_HO.jpg,1.5
Stimuli/BM17_HO.jpg,2
Stimuli/BM11_HO.jpg,5
Stimuli/WM12_HO.jpg,2.5
Stimuli/WM07_HO.jpg,6.5
Stimuli/WF08_SUR.jpg,7.5
Stimuli/AF05_SUR.jpg,3
Stimuli/WF06_SUR.jpg,1.5
Stimuli/HF03_SUR.jpg,1.5
Stimuli/WF04_SUR.jpg,1.5
Stimuli/AF10_SUR.jpg,3
Stimuli/BF14_SUR.jpg,1.5
Stimuli/AF09_SUR.jpg,3.5
Stimuli/BF05_SUR.jpg,8
Stimuli/HM06_SUR.jpg,1.5
Stimuli/WM08_SUR.jpg,1.5
Stimuli/AM10_SUR.jpg,1.5
Stimuli/WM11_SUR.jpg,1.5
Stimuli/WM06_SUR.jpg,1.5
Stimuli/BM01_SUR.jpg,3
Stimuli/WM09_SUR.jpg,1.5
Stimuli/BM07_SUR.jpg,3.5
Stimuli/AF02_SUR.jpg,1.5
Stimuli/BF17_SUR.jpg,1.5
Stimuli/WF02_SUR.jpg,2
Stimuli/HF09_SUR.jpg,1.5
Stimuli/WF11_SUR.jpg,3.5
Stimuli/HF10_SUR.jpg,1.5
Stimuli/BF03_SUR.jpg,8
Stimuli/BF07_SUR.jpg,7.5
Stimuli/BF19_SUR.jpg,5
Stimuli/HM01_SUR.jpg,2.5
Stimuli/BM08_SUR.jpg,1.5
Stimuli/BM12_SUR.jpg,7.5
Stimuli/BM16_SUR.jpg,1.5
Stimuli/HM03_SUR.jpg,1.5
Stimuli/HM07_SUR.jpg,6
Stimuli/BM13_SUR.jpg,1.5
Stimuli/superimposed.jpg,5.5
Stimuli/superimposed.jpg,1.5
Stimuli/superimposed.jpg,7
Stimuli/superimposed.jpg,1.5
Stimuli/superimposed.jpg,1.5
Stimuli/superimposed.jpg,2
Stimuli/superimposed.jpg,1.5
Stimuli/superimposed.jpg,3.5
Stimuli/superimposed.jpg,1.5
